unimportant_bits,important_bits
KRFP1524 <= 0.00,KRFP4142 <= 0.00
KRFP670 <= 0.00,KRFP1799 <= 0.00
KRFP3177 <= 0.00,KRFP2716 <= 0.00
KRFP232 <= 1.00,KRFP1707 <= 0.00
KRFP3915 <= 0.00,KRFP4810 <= 0.00
KRFP2428 <= 0.00,KRFP1566 <= 0.00
KRFP1799 <= 0.00,KRFP3285 <= 0.00
KRFP3222 <= 1.00,KRFP2882 <= 0.00
KRFP2714 <= 0.00,KRFP4015 <= 0.00
KRFP2306 <= 0.00,KRFP3010 <= 0.00
