,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02617478370666504,0.020864584470189473,0.0,0.0,0.001,12345,"{'alpha': 0.001, 'random_state': 12345}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
1,0.021587395668029787,0.01217773905400722,0.0,0.0,0.001,123,"{'alpha': 0.001, 'random_state': 123}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
2,0.021096396446228027,0.007921640568407665,0.0,0.0,0.001,666,"{'alpha': 0.001, 'random_state': 666}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
3,0.030152368545532226,0.03137214970362658,0.001007223129272461,0.002425964017896523,0.001,123123,"{'alpha': 0.001, 'random_state': 123123}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
4,0.021117568016052246,0.009476582175095536,0.0,0.0,0.001,777,"{'alpha': 0.001, 'random_state': 777}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
5,0.01887781620025635,0.007465159358070041,0.0008026123046875,0.0024078369140625,0.001,69,"{'alpha': 0.001, 'random_state': 69}",0.05240191404728134,-0.025967885839048632,0.8997492565960002,0.5413981946636965,-2.634840755417166,0.0733505380177103,-0.42965279212372476,0.6931359913446042,0.09284238598444805,0.8796485137693977,0.0142065361043199,0.974641940071525,25
6,0.015361142158508301,0.017473101120704305,0.003124856948852539,0.006249714075974198,0.005,12345,"{'alpha': 0.005, 'random_state': 12345}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
7,0.010800600051879883,0.00958270498721954,0.0002014636993408203,0.0006043910980224609,0.005,123,"{'alpha': 0.005, 'random_state': 123}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
8,0.010245084762573242,0.006054860911094443,0.0,0.0,0.005,666,"{'alpha': 0.005, 'random_state': 666}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
9,0.010634660720825195,0.005157927287778674,0.0,0.0,0.005,123123,"{'alpha': 0.005, 'random_state': 123123}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
10,0.009831929206848144,0.005774991492637623,0.0010028600692749024,0.0024131654798826984,0.005,777,"{'alpha': 0.005, 'random_state': 777}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
11,0.016008925437927247,0.016767870799154577,0.000802302360534668,0.0024069070816040037,0.005,69,"{'alpha': 0.005, 'random_state': 69}",-0.019372921204577453,-0.007439839638492929,0.902456843061198,0.6243933673249665,-1.938591391324866,0.12693622602411614,-0.3005202393657742,0.7075399281217121,0.26260678942532756,0.8962054148633382,0.12542141772869478,0.7927636340940593,13
12,0.004686880111694336,0.007159327757229734,0.0,0.0,0.01,12345,"{'alpha': 0.01, 'random_state': 12345}",-0.02953842381341687,-0.020246516150977723,0.9022566534887528,0.640704689292299,-1.2029635167579684,0.05758172646831161,-0.24118518780119813,0.6684510929604105,0.30973891021122046,0.9023995415617024,0.19871989694591358,0.6080010850812353,7
13,0.006899333000183106,0.007365550832035972,0.0,0.0,0.01,123,"{'alpha': 0.01, 'random_state': 123}",-0.02953842381341687,-0.020246516150977723,0.9022566534887528,0.640704689292299,-1.2029635167579684,0.05758172646831161,-0.24118518780119813,0.6684510929604105,0.30973891021122046,0.9023995415617024,0.19871989694591358,0.6080010850812353,7
14,0.0046864509582519535,0.007158672092246384,0.0015620708465576172,0.004686212539672851,0.01,666,"{'alpha': 0.01, 'random_state': 666}",-0.02953842381341687,-0.020246516150977723,0.9022566534887528,0.640704689292299,-1.2029635167579684,0.05758172646831161,-0.24118518780119813,0.6684510929604105,0.30973891021122046,0.9023995415617024,0.19871989694591358,0.6080010850812353,7
