,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.001891756057739258,0.0005342330729551276,0.0004981279373168946,0.0004981311051141047,0.0,constant,12345,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 12345}",-0.2546211842913719,-5.741866279917961,0.8691849341429907,0.4894967385216247,-2.918918742714515,-1.537027808588113,-0.7405412527141717,0.4993493697403024,-0.5234392231564637,0.8635189711433708,-0.8994864477834307,1.9656585923829881,51
1,0.0015001773834228515,0.0005052744011589611,0.00030367374420166017,0.0004639020525786266,0.0,constant,123,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 123}",-0.25318016139113264,-5.346054935861957,0.855676669519394,0.5316601234614085,-2.392729366944565,-1.4979751035836553,-0.7294752114367304,0.4842526242847084,-0.7082454204037818,0.7926505632367007,-0.8263420219119612,1.8082162941082138,12
2,0.004778933525085449,0.003515311484813904,0.0010003089904785157,9.31371735228998e-06,0.0,constant,666,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 666}",-0.19160624136693505,-5.708123452006769,0.9402130513611094,0.5204852545382828,-3.076379520073381,-1.5653711934221026,-0.7647531450772778,0.4401105841333791,-0.5901522353912201,0.8755940199110448,-0.911998287739387,1.9815365295992393,56
3,0.003989076614379883,0.0025226271715581175,0.0005983591079711914,0.0004885587524196656,0.0,constant,123123,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 123123}",-0.22582388725446112,-6.126002521940051,0.9530355695238827,0.41359641582313333,-2.9431333778924373,-1.4144330601828785,-0.4956510071127487,0.4739431274056377,-0.4589953848475232,0.8917164335632892,-0.8931747692914156,2.0692851994278176,47
4,0.0017946958541870117,0.00039828241814773217,0.00039942264556884765,0.0004891971622127978,0.0,constant,777,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 777}",-0.22656485639069568,-5.419838013117652,0.9561843264992624,0.4293668842567131,-3.848223151943272,-1.4742040557591234,-0.4496636713331792,0.4125341915627494,-0.5006479625627809,0.8233987208230156,-0.9297657587964963,2.004073132033525,60
5,0.001894998550415039,0.0002991529186887529,9.970664978027343e-05,0.00029911994934082035,0.0,constant,69,"{'alpha': 0.0, 'learning_rate': 'constant', 'random_state': 69}",-0.2816914828682451,-5.412343189310318,0.9096045619143828,0.5264456990161616,-2.2302684114877915,-1.5068620758969349,-0.6417549016703055,0.45797513709015136,-0.7406454700650094,0.8886513297136925,-0.8030888803564217,1.8229754498384805,4
6,9.97304916381836e-05,0.0002991914749145508,0.0,0.0,0.0,optimal,12345,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 12345}",,,,,,,,,,,,,89
7,9.975433349609374e-05,0.00029926300048828126,0.0,0.0,0.0,optimal,123,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 123}",,,,,,,,,,,,,88
8,9.992122650146485e-05,0.0002997636795043946,0.0,0.0,0.0,optimal,666,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 666}",,,,,,,,,,,,,87
9,9.975433349609374e-05,0.00029926300048828126,0.0,0.0,0.0,optimal,123123,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 123123}",,,,,,,,,,,,,85
10,9.992122650146485e-05,0.0002997636795043946,0.0,0.0,0.0,optimal,777,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 777}",,,,,,,,,,,,,86
11,0.0001994609832763672,0.00039892202354976095,0.0,0.0,0.0,optimal,69,"{'alpha': 0.0, 'learning_rate': 'optimal', 'random_state': 69}",,,,,,,,,,,,,90
12,0.0025023460388183595,0.0005009840785217912,0.0005930423736572266,0.0004844038840183247,0.0,invscaling,12345,"{'alpha': 0.0, 'learning_rate': 'invscaling', 'random_state': 12345}",-0.30481911917867954,-5.929549019155069,0.8989730288931315,0.4768762254057015,-1.8356612589692602,-1.6449530416317515,-0.6117922895211865,0.46173554003885464,-0.6589697926833875,0.8947387675042087,-0.825342095929744,1.9332342042527597,9
13,0.0026855230331420898,0.0006411187702764881,0.00019974708557128905,0.00039949418537142597,0.0,invscaling,123,"{'alpha': 0.0, 'learning_rate': 'invscaling', 'random_state': 123}",-0.3250076859139128,-6.0169563062102895,0.9017037865105395,0.46944067222789654,-1.7902241361242126,-1.6126333316125376,-0.7279966937008935,0.4366225896557532,-0.723835604093368,0.903805882900201,-0.8485080826360824,1.9496176044151143,29
14,0.002495217323303223,0.000504223516490969,0.0004961967468261718,0.0004962314750825463,0.0,invscaling,666,"{'alpha': 0.0, 'learning_rate': 'invscaling', 'random_state': 666}",-0.30363291174986307,-5.93896597931066,0.8665294468716673,0.460296715373805,-1.8468226989676038,-1.6450319890142482,-0.7809607234185034,0.44224110064804334,-0.6780298011577057,0.8987538027809687,-0.8525623037944099,1.9299605010640128,34
15,0.0025959014892578125,0.0004901554090863883,0.00019943714141845703,0.0003988742863996543,0.0,invscaling,123123,"{'alpha': 0.0, 'learning_rate': 'invscaling', 'random_state': 123123}",-0.31626684303576114,-5.913756499363213,0.9085168329398189,0.4471101643962967,-1.8208513469952208,-1.6357970191267586,-0.6635472128459299,0.4264911680228509,-0.6614631266948148,0.9066414799032377,-0.8322922402799493,1.924676612552799,17
