param_alpha,mean_test_score,std_test_score,rank_test_score
0.001,0.2063836853607101,0.617848846070262,17.8
0.005,0.2911965635681201,0.5120194538092654,7.0
0.01,0.32245046611882683,0.45697892097246917,4.6
0.05,0.20268045083296038,0.2586520458097072,11.8
0.1,-0.00802629419384392,0.10162873115290547,26.2
0.5,-0.07484860054469883,0.06836820264300698,29.8
1.0,-0.07484860054469883,0.06836820264300698,29.8
