param_C,param_coef0,param_degree,param_gamma,param_kernel,param_tol,mean_test_score,std_test_score,rank_test_score
0.0001,0.01,8,auto,sigmoid,0.1,-0.054566726204735336,0.06110777640303726,2258.4
0.0001,0.01,8,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.01,8,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.01,8,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.01,8,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.01,8,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.01,8,scale,poly,1e-05,-0.01375124496697088,0.07008366848908282,1767.0
0.0001,0.01,8,scale,poly,0.0001,-0.013752499664528777,0.07008705279787233,1767.0
0.0001,0.01,8,scale,poly,0.001,-0.013750586811145379,0.07007122998703724,1767.2
0.0001,0.01,8,scale,poly,0.01,-0.014040759208892398,0.07017929226632888,1769.8
0.0001,0.01,8,scale,poly,0.1,-0.02128644308990976,0.07212839752278048,1798.6
0.0001,0.01,8,scale,rbf,1e-05,-0.05601493696469034,0.0636073490765786,2206.4
0.0001,0.01,8,scale,rbf,0.0001,-0.05601489600377094,0.06360738398888774,2205.2
0.0001,0.01,8,scale,rbf,0.001,-0.05601482041144155,0.06360741660940991,2204.0
0.0001,0.01,8,scale,rbf,0.01,-0.056014512212323064,0.06361189154030387,2208.8
0.0001,0.01,8,scale,rbf,0.1,-0.05392291894603004,0.06042079680507534,2161.8
0.0001,0.01,8,scale,sigmoid,1e-05,-0.056152701943288474,0.06362387716908531,2271.4
0.0001,0.01,8,scale,sigmoid,0.0001,-0.056152701943288474,0.06362387716908531,2271.4
0.0001,0.01,8,scale,sigmoid,0.001,-0.05615340286942512,0.06362342562764525,2272.6
0.0001,0.01,8,scale,sigmoid,0.01,-0.056154856013048635,0.0636282984417212,2288.8
0.0001,0.01,8,scale,sigmoid,0.1,-0.053950903000531805,0.06050961962804302,2170.2
0.0001,0.5,3,auto,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.5,3,auto,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.5,3,auto,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.5,3,auto,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.5,3,auto,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.5,3,auto,poly,1e-05,-0.05621121795892185,0.06363563649164576,2266.2
0.0001,0.5,3,auto,poly,0.0001,-0.05621119726856712,0.06363564782174336,2265.8
0.0001,0.5,3,auto,poly,0.001,-0.05621119726856712,0.06363564782174336,2265.8
0.0001,0.5,3,auto,poly,0.01,-0.05621248513160709,0.06363984381261409,2304.6
0.0001,0.5,3,auto,poly,0.1,-0.055697062083649884,0.0610091215676789,2246.0
0.0001,0.5,3,auto,rbf,1e-05,-0.056191374403777604,0.06363245230966767,2245.2
0.0001,0.5,3,auto,rbf,0.0001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.5,3,auto,rbf,0.001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.5,3,auto,rbf,0.01,-0.056192511691950796,0.06363676866695958,2289.2
0.0001,0.5,3,auto,rbf,0.1,-0.054581528121526876,0.06084509091562744,2251.8
0.0001,0.5,3,auto,sigmoid,1e-05,-0.056239215757282836,0.06364041031599457,2288.8
0.0001,0.5,3,auto,sigmoid,0.0001,-0.05623919059610908,0.06364042406029624,2288.0
0.0001,0.5,3,auto,sigmoid,0.001,-0.05623919059610908,0.06364042406029624,2288.0
0.0001,0.5,3,auto,sigmoid,0.01,-0.05624080816359962,0.06364471616142438,2324.6
0.0001,0.5,3,auto,sigmoid,0.1,-0.0549095056804358,0.06073708404939354,2261.2
0.0001,0.5,3,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.5,3,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.5,3,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.5,3,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.5,3,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.5,3,scale,poly,1e-05,-0.05319700712767028,0.0632097107528455,2054.6
0.0001,0.5,3,scale,poly,0.0001,-0.05319700712767028,0.0632097107528455,2054.6
0.0001,0.5,3,scale,poly,0.001,-0.053197400047239905,0.06320952805419844,2055.4
0.0001,0.5,3,scale,poly,0.01,-0.05316282173414076,0.06318656271891296,2055.0
0.0001,0.5,3,scale,poly,0.1,-0.052689129273423466,0.060135653947005964,2214.6
0.0001,0.5,3,scale,rbf,1e-05,-0.05601493696469034,0.0636073490765786,2206.4
0.0001,0.5,3,scale,rbf,0.0001,-0.05601489600377094,0.06360738398888774,2205.2
0.0001,0.5,3,scale,rbf,0.001,-0.05601482041144155,0.06360741660940991,2204.0
0.0001,0.5,3,scale,rbf,0.01,-0.056014512212323064,0.06361189154030387,2208.8
0.0001,0.5,3,scale,rbf,0.1,-0.05392291894603004,0.06042079680507534,2161.8
0.0001,0.5,3,scale,sigmoid,1e-05,-0.05622035300024471,0.06363620231413208,2306.8
0.0001,0.5,3,scale,sigmoid,0.0001,-0.05622035300024471,0.06363620231413208,2306.8
0.0001,0.5,3,scale,sigmoid,0.001,-0.05622061243232128,0.0636360401896506,2307.6
0.0001,0.5,3,scale,sigmoid,0.01,-0.05622238557309049,0.06364070512726991,2319.0
0.0001,0.5,3,scale,sigmoid,0.1,-0.053774911041268934,0.0602018532927172,2164.2
0.0001,0.5,8,auto,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.5,8,auto,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.5,8,auto,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.5,8,auto,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.5,8,auto,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.5,8,auto,poly,1e-05,-0.056248747503339656,0.063642133993298,2305.2
0.0001,0.5,8,auto,poly,0.0001,-0.056248747503339656,0.063642133993298,2305.2
0.0001,0.5,8,auto,poly,0.001,-0.056248747503339656,0.063642133993298,2305.2
0.0001,0.5,8,auto,poly,0.01,-0.05625034543370798,0.06364634112686904,2328.6
0.0001,0.5,8,auto,poly,0.1,-0.05640834382461472,0.06141997225838216,2287.4
0.0001,0.5,8,auto,rbf,1e-05,-0.056191374403777604,0.06363245230966767,2245.2
0.0001,0.5,8,auto,rbf,0.0001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.5,8,auto,rbf,0.001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.5,8,auto,rbf,0.01,-0.056192511691950796,0.06363676866695958,2289.2
0.0001,0.5,8,auto,rbf,0.1,-0.054581528121526876,0.06084509091562744,2251.8
0.0001,0.5,8,auto,sigmoid,1e-05,-0.056239215757282836,0.06364041031599457,2288.8
0.0001,0.5,8,auto,sigmoid,0.0001,-0.05623919059610908,0.06364042406029624,2288.0
0.0001,0.5,8,auto,sigmoid,0.001,-0.05623919059610908,0.06364042406029624,2288.0
0.0001,0.5,8,auto,sigmoid,0.01,-0.05624080816359962,0.06364471616142438,2324.6
0.0001,0.5,8,auto,sigmoid,0.1,-0.0549095056804358,0.06073708404939354,2261.2
0.0001,0.5,8,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.5,8,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.5,8,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.5,8,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.5,8,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.5,8,scale,poly,1e-05,0.05070436191993978,0.11443928996033212,1598.0
0.0001,0.5,8,scale,poly,0.0001,0.050701373614904996,0.11443530063481941,1598.2
0.0001,0.5,8,scale,poly,0.001,0.050681659146830635,0.11439326876425622,1598.8
0.0001,0.5,8,scale,poly,0.01,0.0502738070039669,0.11439614193384573,1601.6
0.0001,0.5,8,scale,poly,0.1,0.043736040884520384,0.1086310937218928,1607.4
0.0001,0.5,8,scale,rbf,1e-05,-0.05601493696469034,0.0636073490765786,2206.4
0.0001,0.5,8,scale,rbf,0.0001,-0.05601489600377094,0.06360738398888774,2205.2
0.0001,0.5,8,scale,rbf,0.001,-0.05601482041144155,0.06360741660940991,2204.0
0.0001,0.5,8,scale,rbf,0.01,-0.056014512212323064,0.06361189154030387,2208.8
0.0001,0.5,8,scale,rbf,0.1,-0.05392291894603004,0.06042079680507534,2161.8
0.0001,0.5,8,scale,sigmoid,1e-05,-0.05622035300024471,0.06363620231413208,2306.8
0.0001,0.5,8,scale,sigmoid,0.0001,-0.05622035300024471,0.06363620231413208,2306.8
0.0001,0.5,8,scale,sigmoid,0.001,-0.05622061243232128,0.0636360401896506,2307.6
0.0001,0.5,8,scale,sigmoid,0.01,-0.05622238557309049,0.06364070512726991,2319.0
0.0001,0.5,8,scale,sigmoid,0.1,-0.053774911041268934,0.0602018532927172,2164.2
0.0001,10.0,3,auto,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,10.0,3,auto,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,10.0,3,auto,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,10.0,3,auto,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,10.0,3,auto,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,10.0,3,auto,poly,1e-05,-0.04313298058481604,0.0626940191641281,1936.2
0.0001,10.0,3,auto,poly,0.0001,-0.043132632808055224,0.0626944666694832,1936.4
0.0001,10.0,3,auto,poly,0.001,-0.043134465760883575,0.06270125765744064,1935.8
0.0001,10.0,3,auto,poly,0.01,-0.04311683729942984,0.06275750953154646,1935.2
0.0001,10.0,3,auto,poly,0.1,-0.04137634496226546,0.06136683154990578,1910.6
0.0001,10.0,3,auto,rbf,1e-05,-0.056191374403777604,0.06363245230966767,2245.2
0.0001,10.0,3,auto,rbf,0.0001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,10.0,3,auto,rbf,0.001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,10.0,3,auto,rbf,0.01,-0.056192511691950796,0.06363676866695958,2289.2
0.0001,10.0,3,auto,rbf,0.1,-0.054581528121526876,0.06084509091562744,2251.8
0.0001,10.0,3,auto,sigmoid,1e-05,-0.05626922815776618,0.06364567691235128,2444.0
0.0001,10.0,3,auto,sigmoid,0.0001,-0.05626922815776618,0.06364567691235128,2444.0
0.0001,10.0,3,auto,sigmoid,0.001,-0.05626922815776616,0.06364567691235128,2444.4
0.0001,10.0,3,auto,sigmoid,0.01,-0.05627442684705845,0.06364695419553004,2420.0
0.0001,10.0,3,auto,sigmoid,0.1,-0.051496467167159665,0.058165344608456536,2138.6
0.0001,10.0,3,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,10.0,3,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,10.0,3,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,10.0,3,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,10.0,3,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,10.0,3,scale,poly,1e-05,0.02200061496031342,0.09736169188610802,1687.6
0.0001,10.0,3,scale,poly,0.0001,0.02200300319252588,0.09736080277807362,1687.4
0.0001,10.0,3,scale,poly,0.001,0.02202462882218904,0.0973653700337182,1686.6
0.0001,10.0,3,scale,poly,0.01,0.022146868698263898,0.09778767565488046,1685.2
0.0001,10.0,3,scale,poly,0.1,0.02073527600024788,0.09755300559594546,1706.4
0.0001,10.0,3,scale,rbf,1e-05,-0.05601493696469034,0.0636073490765786,2206.4
0.0001,10.0,3,scale,rbf,0.0001,-0.05601489600377094,0.06360738398888774,2205.2
0.0001,10.0,3,scale,rbf,0.001,-0.05601482041144155,0.06360741660940991,2204.0
0.0001,10.0,3,scale,rbf,0.01,-0.056014512212323064,0.06361189154030387,2208.8
0.0001,10.0,3,scale,rbf,0.1,-0.05392291894603004,0.06042079680507534,2161.8
0.0001,10.0,3,scale,sigmoid,1e-05,-0.056269228157764084,0.06364567691248815,2443.2
0.0001,10.0,3,scale,sigmoid,0.0001,-0.056269228157764084,0.06364567691248815,2443.2
0.0001,10.0,3,scale,sigmoid,0.001,-0.056269228157764015,0.06364567691248815,2443.6
0.0001,10.0,3,scale,sigmoid,0.01,-0.0562744268470611,0.06364695419567194,2420.8
0.0001,10.0,3,scale,sigmoid,0.1,-0.051496467167132645,0.05816534460854554,2138.2
0.0001,10.0,8,auto,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,10.0,8,auto,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,10.0,8,auto,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,10.0,8,auto,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,10.0,8,auto,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,10.0,8,auto,poly,1e-05,0.3930928097364811,0.3620398553280944,561.8
0.0001,10.0,8,auto,poly,0.0001,0.39309461141284163,0.3620368924408202,560.4
0.0001,10.0,8,auto,poly,0.001,0.39301917899345307,0.3621155230482277,582.8
0.0001,10.0,8,auto,poly,0.01,0.3930530494006974,0.36207803412287987,511.8
